Entity,Code,Year,Coal consumption - TWh
India,IND,1980,659.565
India,IND,1981,742.1424
India,IND,1982,733.90405
India,IND,1983,779.04803
India,IND,1984,818.31085
India,IND,1985,857.39703
India,IND,1986,921.24005
India,IND,1987,1011.6298
India,IND,1988,1085.5574
India,IND,1989,1179.941
India,IND,1990,1276.025
India,IND,1991,1357.8776
India,IND,1992,1438.2565
India,IND,1993,1489.6254
India,IND,1994,1537.2871
India,IND,1995,1631.6134
India,IND,1996,1678.4825
India,IND,1997,1755.3625
India,IND,1998,1813.659
India,IND,1999,1796.674
India,IND,2000,1911.1661
India,IND,2001,1926.9531
India,IND,2002,2012.7899
India,IND,2003,2107.9834
India,IND,2004,2243.5286
India,IND,2005,2456.1133
India,IND,2006,2549.8647
India,IND,2007,2790.2725
India,IND,2008,3020.762
India,IND,2009,3268.2656
India,IND,2010,3348.546
India,IND,2011,3478.864
India,IND,2012,3787.818
India,IND,2013,4009.7288
India,IND,2014,4401.073
India,IND,2015,4490.47
India,IND,2016,4587.692
India,IND,2017,4737.1567
India,IND,2018,4981.6016
India,IND,2019,4989.023
India,IND,2020,4714.672
India,IND,2021,5352.792
